File name;Zone;Patry;Hostplant;Baltic;Sex;BL;OL;Wing length;Wing width;Wing area;Melanized area;LMPC1;LMPC2;LMPC3;LMPC4;LMPC5;LMPC6;BL ln;OL ln;WL ln;WW ln;WA sqrt;MA sqrt;WA sqrt ln;MA sqrt ln
CHSK18_6aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.6;;3.73873873873874;1.85585585585586;5.53429104780456;3.24746367989611;0.0079245;-0.0020205;-0.0034768;0.0035971;-0.0023118;0.00033866;0.662757831681574;;0.572725117925435;0.268544241582496;2.35250739590858;1.80207205180484;0.371530997454124;0.255772151279937
CHSK18_6bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.63;1.6;4.73404255319149;2.15957446808511;8.24841557265731;4.76889995473065;0.0097546;-0.0030074;-0.011019;-0.0050263;-0.0029725;0.0064993;0.665580991017953;0.204119982655925;0.675232157381233;0.334368184313514;2.87200549662728;2.18378111419864;0.458185266751535;0.339209105800267
CHSK18_8aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.83;;4.41414141414141;2.07070707070707;7.10233649627589;4.00408121620243;0.0024957;-0.0065259;-0.005866;0.0068553;0.0044287;-0.0037704;0.683947130751512;;0.644846242372872;0.316118666458204;2.66502091854377;2.0010200439282;0.425700622282844;0.301251438922976
CHSK18_8bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.64;1.71;4.78260869565217;2.26086956521739;8.50366257088847;4.94990548204159;0.0032593;-0.0096671;-0.0046095;0.0098006;0.0090527;-0.012632;0.666517980554881;0.232996110392154;0.679664849140632;0.354275507617206;2.9161040054992;2.22483830469578;0.464803009429505;0.347298453101159
CHSK18_90bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.4;1.67;4.39784946236559;1.95698924731183;6.90322580645161;3.90530697190427;0.0067455;0.0065615;0.0025496;0.0069018;0.0083653;0.0017261;0.643452676486187;0.222716471147583;0.643240359453407;0.29158843943114;2.62739905732868;1.97618495387053;0.419526039757459;0.295827588372269
CHSK18_91aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.84;;4.63874345549738;2.1151832460733;7.7025300841534;4.06743236205148;0.005478;-0.016784;0.0041309;-0.0071929;0.0053107;-0.00064078;0.684845361644412;;0.666400354639323;0.325347997862877;2.77534323717867;2.01678763434614;0.443316701618884;0.304660169860128
CHSK18_91bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.47;1.57;4.69072164948454;2.14432989690722;7.93973854819853;3.9708789456903;-0.006172;0.0091677;-0.00091092;-0.0026982;-0.0023371;-0.0054702;0.650307523131936;0.195899652409234;0.671239662390868;0.331291600696517;2.81775416745296;1.99270643740876;0.449903100776258;0.299443323786277
CHSK18_92bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;3.87;1.39;3.98958333333333;1.94791666666667;6.16015625;3.31976996527778;0.0086831;0.0014148;-0.0060823;-0.0015596;-0.0053864;0.0086745;0.587710965018911;0.143014800254095;0.600927540929054;0.289570373496931;2.4819662064581;1.82202359075775;0.394795864008527;0.260553995726765
CHSK18_93bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.56;1.89;5;2.4;9.4415;5.6481;-0.010348;0.010183;-0.0045279;0.0017161;0.0026041;0.00719;0.658964842664435;0.276461804173244;0.698970004336019;0.380211241711606;3.07270239365937;2.37657316319107;0.487520498736526;0.375951188662784
CHSK18_94aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.4;;4.47;2.08;7.6364;5.1863;-0.012945;0.0049898;-0.0026944;0.0019687;-0.0047008;0.0034045;0.643452676486187;;0.650307523131936;0.318063334962762;2.76340369834015;2.27734494532559;0.441444334483847;0.357428817398334
CHSK18_94bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.83;1.7;4.8989898989899;2.3030303030303;9.23140495867769;6.14916845219876;-0.02076;-0.0063842;-0.0027608;0.0081658;-0.0086504;0.0016935;0.683947130751512;0.230448921378274;0.690106544004714;0.362299652402904;3.03832272128516;2.47975169164148;0.48263390139958;0.394408195201648
CHSK18_95aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.17;;4.56565656565657;2.09090909090909;7.67421691664116;5.11560044893378;-0.0095654;-0.0067939;-0.0020028;0.012461;0.0033941;-0.009893;0.620136054973757;;0.659503240213832;0.320335150859368;2.77023770038622;2.26176931824043;0.44251703532331;0.354448308403741
CHSK18_96bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.86;1.82;5.26315789473684;2.27368421052632;9.3184487534626;4.74060941828255;0.0030267;0.0027217;0.0031069;0.00036165;-0.0071269;0.007288;0.686636269262293;0.260071387985075;0.721246399047171;0.356730145862083;3.05261343007309;2.17729405875333;0.48467181058238;0.337917087502097
CHSK18_97aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.78;;4.70103092783505;2.15463917525773;8.00329471782336;4.46721224359656;-0.0098272;0.0024984;-0.012909;0.0040558;0.0012542;-0.00095063;0.679427896612119;;0.67219310839819;0.333374551844809;2.8290094941204;2.11357806659621;0.451634404946274;0.325018293454753
CHSK18_97bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;5.01;1.75;5.25;2.34375;9.6982421875;5.15190972222222;0.020627;-0.0085496;0.0018848;-0.012605;0.0085744;0.00066507;0.699837725867246;0.243038048686294;0.720159303405957;0.369911285071794;3.11420008790379;2.26978186666081;0.493346512625447;0.355984122101708
CHSK18_98bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.73;1.62;4.64615384615385;2.2974358974359;8.67218934911243;5.61272846811308;-0.0043758;-0.0037112;0.009125;-0.011663;-0.005751;0.010302;0.674861140737812;0.209515014542631;0.667093586314295;0.361243402635626;2.94485812037056;2.36911976651943;0.469064375855051;0.374587016241443
CHSK18_99bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;5.19;1.89;5.13846153846154;2.23589743589744;9.05046679815911;5.17554240631164;0.014748;0.00058443;0.005465;-0.00093257;-0.0014109;0.0088507;0.715167357848458;0.276461804173244;0.710833110168709;0.349451877906068;3.00839937477708;2.2749818474686;0.478335489748265;0.356977935685143
CHSK18_9aWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Male;4.63;;4.66;2.1;7.6085;3.924;-0.00093288;0.013461;-0.0077996;0.00699;0.0057068;-0.011118;0.665580991017953;;0.66838591669;0.322219294733919;2.75835095664058;1.9809088823063;0.440649522476362;0.296864499353955
CHSK18_9bWing1a.jpg;CHSK;Sympatry;Heterophyllum;West;Female;4.55;1.83;4.81592039800995;2.16915422885572;8.07692878889136;4.40642558352516;0.0075355;-0.0077058;-0.0063655;-0.0075938;0.0074386;0.0066001;0.658011396657112;0.262451089730429;0.682679299887905;0.336290431848097;2.84199380521692;2.09914877593875;0.453623126947172;0.322043220039998
CHST18_32aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;4.11;;4.53465346534654;2.08910891089109;7.46024899519655;5.09342221350848;0.0094802;0.015262;-0.0050882;-0.0027812;0.0021575;0.00095348;0.613841821876069;;0.656544104221227;0.31996108151505;2.73134563817847;2.25686114183139;0.436376661419662;0.353504839010609
CHST18_32bWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Female;4.43;1.69;5.22388059701492;2.26865671641791;9.56085245414717;6.36647607732482;-0.00013717;0.0084752;0.00011729;-0.00754;0.0046;-0.0028587;0.64640372622307;0.227886704613674;0.717993241649449;0.355768785243946;3.09206281536245;2.52318768174799;0.490248308043244;0.401949555755781
